,.,the,",",to,of,in,and,said,a,s,for,oil,-,mln,',/,u,on,that,from,at,it,"""",is,by,tonnes,1,dlrs,be,000,was,pct,wheat,will,he,with,year,its,as,would,an,2,prices,has,not,last,(,this,were,","""
grain article579.txt,0,39,0,12,8,13,7,4,11,0,3,0,0,0,0,0,0,5,2,3,0,3,0,8,3,0,0,0,1,0,1,0,0,2,0,2,0,0,3,1,0,0,0,3,3,0,0,0,0,0
grain article545.txt,0,13,0,9,9,1,4,2,4,1,2,0,0,1,0,0,1,2,2,1,1,2,0,0,0,2,0,0,5,1,2,0,0,4,0,1,2,2,1,1,0,0,0,0,0,0,0,2,0,0
grain article223.txt,0,8,0,6,2,4,0,4,1,4,1,0,0,3,0,0,3,0,1,3,0,1,0,0,1,3,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0
grain article237.txt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article551.txt,0,8,0,4,3,8,0,1,5,2,1,0,0,0,0,0,0,1,3,0,0,3,0,2,4,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
grain article009.txt,0,7,0,5,4,1,1,3,2,1,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,1,1,0,1,0,4,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
grain article021.txt,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
grain article035.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article196.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article182.txt,0,6,0,2,5,6,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0
grain article169.txt,0,6,0,6,5,2,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,1,0,0,2,6,1,0,2,0,0,2,0,1,0,0,0,1,1,0,1,1,0
grain article155.txt,0,5,0,4,3,0,0,3,2,9,2,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article141.txt,0,11,0,6,7,6,1,5,7,7,2,0,0,13,0,0,1,1,6,2,4,0,0,3,0,9,0,0,2,0,0,0,0,0,0,0,4,1,3,2,1,0,0,0,0,1,0,5,2,0
grain article394.txt,0,8,0,3,2,2,1,3,0,2,3,0,0,4,0,0,2,2,3,1,0,0,0,2,1,3,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0
grain article380.txt,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article419.txt,0,11,0,9,7,4,3,8,7,10,2,0,0,0,0,0,9,1,4,1,0,5,0,0,2,0,0,0,4,0,0,0,0,5,7,3,1,3,0,5,1,0,0,0,4,1,0,0,0,0
grain article431.txt,0,7,0,3,3,1,3,0,1,2,4,0,0,3,0,0,2,0,0,0,0,0,0,2,0,2,0,3,1,2,0,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
grain article357.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article343.txt,0,2,0,2,0,0,2,1,1,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article425.txt,0,14,0,8,6,4,5,7,4,2,2,0,0,0,0,0,1,2,5,1,4,0,0,3,1,0,0,0,1,0,0,1,1,0,3,1,1,0,1,1,1,0,0,2,1,1,0,2,0,0
grain article342.txt,0,2,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article424.txt,0,16,0,19,13,11,13,13,25,2,3,0,0,0,0,0,1,3,3,2,4,3,0,3,1,0,0,0,6,0,1,2,3,1,4,0,2,0,3,7,2,0,2,2,4,0,0,4,1,0
grain article430.txt,0,6,0,3,4,3,1,3,0,0,0,0,0,9,0,0,0,2,0,1,1,0,0,1,0,6,4,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
grain article356.txt,0,6,0,3,2,4,1,3,1,4,0,0,0,2,0,0,2,1,0,2,3,3,0,0,0,3,2,0,1,3,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
grain article418.txt,0,5,0,0,8,0,0,3,2,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
grain article381.txt,0,13,0,9,9,9,4,3,2,0,3,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,4,6,2,0,1,2,1,3,0,1,1,0,3,0,3,1,0,0,0,0,0,2,1,0
grain article395.txt,0,25,0,8,8,6,7,8,6,11,3,0,0,5,0,0,9,1,1,7,2,1,0,3,1,5,1,0,0,0,0,0,5,2,4,1,2,2,4,2,4,0,2,3,2,0,0,4,2,0
grain article154.txt,0,41,0,26,11,21,17,13,13,7,8,3,0,1,0,0,0,3,6,3,2,5,0,13,2,1,0,5,2,1,1,4,1,1,1,3,2,2,5,0,2,0,1,4,3,0,0,2,1,0
grain article168.txt,0,10,0,6,2,2,10,1,1,0,2,0,0,3,0,0,2,2,0,0,0,0,0,0,4,15,3,0,0,8,4,0,5,0,0,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0
grain article183.txt,0,66,0,42,40,24,37,13,29,15,17,1,0,1,0,0,12,7,12,7,2,10,0,8,7,1,0,1,10,3,3,3,4,3,0,10,1,6,11,3,6,0,6,4,6,1,0,2,4,0
grain article197.txt,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article034.txt,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article020.txt,0,1,0,0,1,1,1,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
grain article008.txt,0,3,0,3,6,0,2,3,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,1,0,1,3,2,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0
grain article236.txt,0,9,0,2,3,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article550.txt,0,8,0,0,4,3,4,2,5,1,1,0,0,4,0,0,0,1,0,1,0,1,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,1,0,0,0,0,0
grain article222.txt,0,16,0,8,5,2,0,3,4,5,5,0,0,1,0,0,5,1,4,3,0,0,0,1,1,2,0,0,3,1,2,0,0,0,0,1,1,1,2,2,3,0,0,1,1,0,0,0,1,0
grain article578.txt,0,0,0,4,4,0,2,2,2,1,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
grain article208.txt,0,15,0,11,10,9,7,9,4,3,1,0,0,2,0,0,0,3,0,4,0,3,0,3,2,2,2,0,2,0,2,6,1,0,7,3,2,0,4,0,2,0,0,0,2,0,0,0,0,0
grain article552.txt,0,7,0,5,2,4,2,2,1,3,1,0,0,0,0,0,1,2,1,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
grain article234.txt,0,11,0,0,5,1,2,2,0,3,1,0,0,0,0,0,3,1,0,4,0,0,0,1,0,1,0,0,1,1,0,0,5,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
grain article220.txt,0,52,0,29,30,9,3,4,15,13,1,0,0,4,0,0,10,2,10,3,2,3,0,5,2,3,0,1,5,0,5,0,14,2,4,3,1,0,3,8,5,0,2,1,9,4,0,3,4,0
grain article546.txt,0,17,0,10,4,3,4,3,5,8,1,0,0,1,0,0,8,3,2,1,2,2,0,5,2,1,0,0,1,0,2,0,7,0,1,2,0,0,1,3,0,0,4,0,3,1,0,2,0,0
grain article036.txt,0,3,0,0,1,16,0,0,0,2,1,1,0,4,0,0,2,3,0,0,28,0,0,0,0,0,26,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,30,0,0,0,0
grain article022.txt,0,5,0,3,2,2,4,3,2,2,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,2,0,0,4,2,0,0,4,4,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
grain article181.txt,0,5,0,2,2,1,5,1,0,0,2,0,0,3,0,0,2,1,0,0,0,0,0,0,2,6,2,0,0,1,0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
grain article195.txt,0,10,0,5,1,9,6,4,1,1,3,0,0,0,0,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
grain article142.txt,0,3,0,3,2,1,2,0,4,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
grain article156.txt,0,2,0,2,9,0,6,1,4,3,8,0,0,0,0,0,2,0,0,0,3,0,0,0,0,5,5,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article397.txt,0,5,0,0,8,0,1,2,2,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grain article368.txt,0,11,0,9,4,2,5,5,6,8,4,0,0,0,0,0,7,3,6,0,0,0,0,2,0,0,0,0,1,0,3,0,0,1,0,0,0,2,0,0,2,0,4,2,0,0,0,3,0,0
grain article426.txt,0,5,0,1,2,1,7,2,4,2,3,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,5,0,0,0,1,3,0,0,0,0,0
